common_name,borders
Mauritania,DZA
Mauritania,MLI
Mauritania,SEN
Mauritania,ESH
Eritrea,DJI
Eritrea,ETH
Eritrea,SDN
Romania,BGR
Romania,HUN
Romania,MDA
Romania,SRB
Romania,UKR
Colombia,BRA
Colombia,ECU
Colombia,PAN
Colombia,PER
Colombia,VEN
Chile,ARG
Chile,BOL
Chile,PER
Ghana,BFA
Ghana,CIV
Ghana,TGO
Gibraltar,ESP
Venezuela,BRA
Venezuela,COL
Venezuela,GUY
Kosovo,ALB
Kosovo,MKD
Kosovo,MNE
Kosovo,SRB
Botswana,NAM
Botswana,ZAF
Botswana,ZMB
Botswana,ZWE
Tanzania,BDI
Tanzania,COD
Tanzania,KEN
Tanzania,MWI
Tanzania,MOZ
Tanzania,RWA
Tanzania,UGA
Tanzania,ZMB
Montenegro,ALB
Montenegro,BIH
Montenegro,HRV
Montenegro,UNK
Montenegro,SRB
Ivory Coast,BFA
Ivory Coast,GHA
Ivory Coast,GIN
Ivory Coast,LBR
Ivory Coast,MLI
Lesotho,ZAF
Gabon,CMR
Gabon,COG
Gabon,GNQ
Jordan,IRQ
Jordan,ISR
Jordan,PSE
Jordan,SAU
Jordan,SYR
Sweden,FIN
Sweden,NOR
Vietnam,KHM
Vietnam,CHN
Vietnam,LAO
Qatar,SAU
Brazil,ARG
Brazil,BOL
Brazil,COL
Brazil,GUF
Brazil,GUY
Brazil,PRY
Brazil,PER
Brazil,SUR
Brazil,URY
Brazil,VEN
Finland,NOR
Finland,SWE
Finland,RUS
Georgia,ARM
Georgia,AZE
Georgia,RUS
Georgia,TUR
Senegal,GMB
Senegal,GIN
Senegal,GNB
Senegal,MLI
Senegal,MRT
South Korea,PRK
Guyana,BRA
Guyana,SUR
Guyana,VEN
Suriname,BRA
Suriname,GUF
Suriname,GUY
Cambodia,LAO
Cambodia,THA
Cambodia,VNM
Paraguay,ARG
Paraguay,BOL
Paraguay,BRA
Peru,BOL
Peru,BRA
Peru,CHL
Peru,COL
Peru,ECU
France,AND
France,BEL
France,DEU
France,ITA
France,LUX
France,MCO
France,ESP
France,CHE
Uzbekistan,AFG
Uzbekistan,KAZ
Uzbekistan,KGZ
Uzbekistan,TJK
Uzbekistan,TKM
Egypt,ISR
Egypt,LBY
Egypt,PSE
Egypt,SDN
Israel,EGY
Israel,JOR
Israel,LBN
Israel,PSE
Israel,SYR
Monaco,FRA
Republic of the Congo,AGO
Republic of the Congo,CMR
Republic of the Congo,CAF
Republic of the Congo,COD
Republic of the Congo,GAB
Ireland,GBR
Kazakhstan,CHN
Kazakhstan,KGZ
Kazakhstan,RUS
Kazakhstan,TKM
Kazakhstan,UZB
Malaysia,BRN
Malaysia,IDN
Malaysia,THA
United Arab Emirates,OMN
United Arab Emirates,SAU
Czechia,AUT
Czechia,DEU
Czechia,POL
Czechia,SVK
Yemen,OMN
Yemen,SAU
Myanmar,BGD
Myanmar,CHN
Myanmar,IND
Myanmar,LAO
Myanmar,THA
Albania,MNE
Albania,GRC
Albania,MKD
Albania,UNK
Italy,AUT
Italy,FRA
Italy,SMR
Italy,SVN
Italy,CHE
Italy,VAT
Afghanistan,IRN
Afghanistan,PAK
Afghanistan,TKM
Afghanistan,UZB
Afghanistan,TJK
Afghanistan,CHN
Kyrgyzstan,CHN
Kyrgyzstan,KAZ
Kyrgyzstan,TJK
Kyrgyzstan,UZB
United States,CAN
United States,MEX
Serbia,BIH
Serbia,BGR
Serbia,HRV
Serbia,HUN
Serbia,UNK
Serbia,MKD
Serbia,MNE
Serbia,ROU
Moldova,ROU
Moldova,UKR
Hong Kong,CHN
Pakistan,AFG
Pakistan,CHN
Pakistan,IND
Pakistan,IRN
Saudi Arabia,IRQ
Saudi Arabia,JOR
Saudi Arabia,KWT
Saudi Arabia,OMN
Saudi Arabia,QAT
Saudi Arabia,ARE
Saudi Arabia,YEM
Angola,COG
Angola,COD
Angola,ZMB
Angola,NAM
Lithuania,BLR
Lithuania,LVA
Lithuania,POL
Lithuania,RUS
Netherlands,BEL
Netherlands,DEU
Vatican City,ITA
Kuwait,IRQ
Kuwait,SAU
Switzerland,AUT
Switzerland,FRA
Switzerland,ITA
Switzerland,LIE
Switzerland,DEU
Guatemala,BLZ
Guatemala,SLV
Guatemala,HND
Guatemala,MEX
Uganda,COD
Uganda,KEN
Uganda,RWA
Uganda,SSD
Uganda,TZA
Guinea,CIV
Guinea,GNB
