common_name,capital,latitude,longitude
Mauritania,Nouakchott,18.07,-15.97
Eritrea,Asmara,15.33,38.93
Puerto Rico,San Juan,18.47,-66.12
Romania,Bucharest,44.43,26.1
Antigua and Barbuda,Saint John's,17.12,-61.85
Cocos (Keeling) Islands,West Island,-12.17,96.83
Colombia,Bogotá,4.71,-74.07
Chile,Santiago,-33.45,-70.67
Ghana,Accra,5.55,-0.22
Gibraltar,Gibraltar,36.13,-5.35
Venezuela,Caracas,10.48,-66.87
Kosovo,Pristina,42.67,21.17
Botswana,Gaborone,-24.63,25.9
Tanzania,Dodoma,-6.16,35.75
Montenegro,Podgorica,42.43,19.27
Comoros,Moroni,-11.7,43.23
Ivory Coast,Yamoussoukro,6.82,-5.27
Cape Verde,Praia,14.92,-23.52
Lesotho,Maseru,-29.32,27.48
Gabon,Libreville,0.38,9.45
Grenada,St. George's,32.38,-64.68
Jordan,Amman,31.95,35.93
Sweden,Stockholm,59.33,18.05
Vietnam,Hanoi,21.03,105.85
Qatar,Doha,25.28,51.53
Brazil,Brasília,-15.79,-47.88
Finland,Helsinki,60.17,24.93
Georgia,Tbilisi,41.68,44.83
Senegal,Dakar,14.73,-17.63
South Korea,Seoul,37.55,126.98
Anguilla,The Valley,18.22,-63.05
São Tomé and Príncipe,São Tomé,0.34,6.73
Guyana,Georgetown,6.8,-58.15
Nauru,Yaren,-0.55,166.92
Suriname,Paramaribo,5.83,-55.17
Cambodia,Phnom Penh,11.55,104.92
Curaçao,Willemstad,12.1,-68.92
Maldives,Malé,4.17,73.51
Paraguay,Asunción,-25.28,-57.57
Peru,Lima,-12.05,-77.05
France,Paris,48.87,2.33
Falkland Islands,Stanley,-51.7,-57.85
Uzbekistan,Tashkent,41.32,69.25
Egypt,Cairo,30.05,31.25
Dominica,Roseau,15.3,-61.4
Israel,Jerusalem,31.77,35.23
Monaco,Monaco,43.73,7.42
Republic of the Congo,Brazzaville,-4.25,15.28
Ireland,Dublin,53.32,-6.23
French Southern and Antarctic Lands,Port-aux-Français,48.81,-1.4
Kazakhstan,Nur-Sultan,51.16,71.45
Malaysia,Kuala Lumpur,3.17,101.7
United Arab Emirates,Abu Dhabi,24.47,54.37
Czechia,Prague,50.08,14.47
Yemen,Sana'a,15.37,44.19
Myanmar,Naypyidaw,19.76,96.07
Saint Kitts and Nevis,Basseterre,17.3,-62.72
United States Virgin Islands,Charlotte Amalie,18.35,-64.93
French Polynesia,Papeetē,-17.53,-149.56
Fiji,Suva,-18.13,178.42
Albania,Tirana,41.32,19.82
Isle of Man,Douglas,54.15,-4.48
Australia,Canberra,-35.27,149.13
Caribbean Netherlands,Kralendijk,12.14,-68.27
Italy,Rome,41.9,12.48
Afghanistan,Kabul,34.52,69.18
Kyrgyzstan,Bishkek,42.87,74.6
Wallis and Futuna,Mata-Utu,-13.95,-171.93
