common_name,f,m,language_code
Mauritania,Mauritanian,Mauritanian,eng
Mauritania,Mauritanienne,Mauritanien,fra
Eritrea,Eritrean,Eritrean,eng
Eritrea,Érythréenne,Érythréen,fra
Puerto Rico,Puerto Rican,Puerto Rican,eng
Puerto Rico,Portoricaine,Portoricain,fra
Romania,Romanian,Romanian,eng
Romania,Roumaine,Roumain,fra
Antigua and Barbuda,"Antiguan, Barbudan","Antiguan, Barbudan",eng
Antigua and Barbuda,Antiguaise et barbudienne,Antiguaise et barbudien,fra
Cocos (Keeling) Islands,Cocos Islander,Cocos Islander,eng
Colombia,Colombian,Colombian,eng
Colombia,Colombienne,Colombien,fra
Chile,Chilean,Chilean,eng
Chile,Chilienne,Chilien,fra
Ghana,Ghanaian,Ghanaian,eng
Ghana,Ghanéenne,Ghanéen,fra
Gibraltar,Gibraltar,Gibraltar,eng
Gibraltar,Gibraltarienne,Gibraltarien,fra
Venezuela,Venezuelan,Venezuelan,eng
Venezuela,Vénézuélienne,Vénézuélien,fra
Kosovo,Kosovar,Kosovar,eng
Kosovo,Kosovare,Kosovar,fra
Botswana,Motswana,Motswana,eng
Botswana,Botswanaise,Botswanais,fra
Tanzania,Tanzanian,Tanzanian,eng
Tanzania,Tanzanienne,Tanzanien,fra
Montenegro,Montenegrin,Montenegrin,eng
Montenegro,Monténégrine,Monténégrin,fra
Comoros,Comoran,Comoran,eng
Comoros,Comorienne,Comorien,fra
Ivory Coast,Ivorian,Ivorian,eng
Ivory Coast,Ivoirienne,Ivoirien,fra
Cape Verde,Cape Verdian,Cape Verdian,eng
Cape Verde,Cap-verdienne,Cap-verdien,fra
Lesotho,Mosotho,Mosotho,eng
Lesotho,Lésothienne,Lésothien,fra
Gabon,Gabonese,Gabonese,eng
Gabon,Gabonaise,Gabonais,fra
Grenada,Grenadian,Grenadian,eng
Grenada,Grenadienne,Grenadien,fra
Jordan,Jordanian,Jordanian,eng
Jordan,Jordanienne,Jordanien,fra
Sweden,Swedish,Swedish,eng
Sweden,Suédoise,Suédois,fra
Vietnam,Vietnamese,Vietnamese,eng
Vietnam,Vietnamienne,Vietnamien,fra
Qatar,Qatari,Qatari,eng
Qatar,Qatarienne,Qatarien,fra
Brazil,Brazilian,Brazilian,eng
Brazil,Brésilienne,Brésilien,fra
Finland,Finnish,Finnish,eng
Finland,Finlandaise,Finlandais,fra
Georgia,Georgian,Georgian,eng
Georgia,Géorgienne,Géorgien,fra
Senegal,Senegalese,Senegalese,eng
Senegal,Sénégalaise,Sénégalais,fra
South Korea,South Korean,South Korean,eng
South Korea,Sud-coréenne,Sud-coréen,fra
Anguilla,Anguillian,Anguillian,eng
Anguilla,Anguillane,Anguillan,fra
São Tomé and Príncipe,Sao Tomean,Sao Tomean,eng
São Tomé and Príncipe,Santoméenne,Santoméen,fra
Antarctica,Antarctican,Antarctican,eng
Antarctica,Antarcticaine,Antarcticain,fra
Guyana,Guyanese,Guyanese,eng
Guyana,Guyanienne,Guyanien,fra
Nauru,Nauruan,Nauruan,eng
Nauru,Nauruane,Nauruan,fra
Suriname,Surinamer,Surinamer,eng
Suriname,Surinamaise,Surinamais,fra
Cambodia,Cambodian,Cambodian,eng
Cambodia,Cambodgienne,Cambodgien,fra
Curaçao,Curaçaoan,Curaçaoan,eng
Curaçao,Curacienne,Curacien,fra
Maldives,Maldivan,Maldivan,eng
Maldives,Maldivienne,Maldivien,fra
Paraguay,Paraguayan,Paraguayan,eng
Paraguay,Paraguayenne,Paraguayen,fra
Peru,Peruvian,Peruvian,eng
Peru,Péruvienne,Péruvien,fra
France,French,French,eng
France,Française,Français,fra
Falkland Islands,Falkland Islander,Falkland Islander,eng
Falkland Islands,Malouinne,Malouin,fra
Uzbekistan,Uzbekistani,Uzbekistani,eng
Uzbekistan,Ouzbèke,Ouzbèke,fra
Egypt,Egyptian,Egyptian,eng
Egypt,Égyptienne,Égyptien,fra
United States Minor Outlying Islands,American Islander,American Islander,eng
Dominica,Dominican,Dominican,eng
Dominica,Dominiquaise,Dominiquais,fra
Israel,Israeli,Israeli,eng
Israel,Israélienne,Israélien,fra
Monaco,Monegasque,Monegasque,eng
Monaco,Monégasque,Monégasque,fra
Republic of the Congo,Congolese,Congolese,eng
Republic of the Congo,Congolaise,Congolais,fra
Ireland,Irish,Irish,eng
Ireland,Irlandaise,Irlandais,fra
French Southern and Antarctic Lands,French,French,eng
French Southern and Antarctic Lands,Française,Français,fra
Kazakhstan,Kazakhstani,Kazakhstani,eng
Kazakhstan,Kazakhstanaise,Kazakhstanais,fra
Malaysia,Malaysian,Malaysian,eng
Malaysia,Malaisienne,Malaisien,fra
United Arab Emirates,Emirati,Emirati,eng
United Arab Emirates,Emirienne,Emirien,fra
Czechia,Czech,Czech,eng
Czechia,Tchèque,Tchèque,fra
Yemen,Yemeni,Yemeni,eng
Yemen,Yéménite,Yéménite,fra
Myanmar,Burmese,Burmese,eng
Myanmar,Birmane,Birman,fra
Saint Kitts and Nevis,Kittitian or Nevisian,Kittitian or Nevisian,eng
Saint Kitts and Nevis,Kittitienne-et-nevicienne,Kittitien-et-nevicien,fra
United States Virgin Islands,Virgin Islander,Virgin Islander,eng
French Polynesia,French Polynesian,French Polynesian,eng
French Polynesia,Polynésienne,Polynésien,fra
Fiji,Fijian,Fijian,eng
Fiji,Fidjienne,Fidjien,fra
Albania,Albanian,Albanian,eng
Albania,Albanaise,Albanais,fra
Isle of Man,Manx,Manx,eng
Australia,Australian,Australian,eng
Australia,Australienne,Australien,fra
Caribbean Netherlands,Dutch,Dutch,eng
Caribbean Netherlands,Néerlandaise,Néerlandais,fra
Italy,Italian,Italian,eng
Italy,Italienne,Italien,fra
Afghanistan,Afghan,Afghan,eng
Afghanistan,Afghane,Afghan,fra
Kyrgyzstan,Kirghiz,Kirghiz,eng
Kyrgyzstan,Kirghize,Kirghize,fra
Wallis and Futuna,Wallis and Futuna Islander,Wallis and Futuna Islander,eng
United States,American,American,eng
United States,Américaine,Américain,fra
Martinique,Martinican,Martinican,eng
Martinique,Martiniquaise,Martiniquais,fra
Philippines,Filipino,Filipino,eng
Philippines,Philippine,Philippin,fra
Serbia,Serbian,Serbian,eng
Serbia,Serbe,Serbe,fra
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenian,eng
"Saint Helena, Ascension and Tristan da Cunha",Sainte-Hélénoise,Sainte-Hélènois,fra
British Indian Ocean Territory,Indian,Indian,eng
Moldova,Moldovan,Moldovan,eng
Moldova,Moldave,Moldave,fra
Hong Kong,Hong Konger,Hong Konger,eng
Hong Kong,Hongkongaise,Hongkongais,fra
Pakistan,Pakistani,Pakistani,eng
Pakistan,Pakistanaise,Pakistanais,fra
Saudi Arabia,Saudi Arabian,Saudi Arabian,eng
Saudi Arabia,Saoudienne,Saoudien,fra
Angola,Angolan,Angolan,eng
Angola,Angolaise,Angolais,fra
New Caledonia,New Caledonian,New Caledonian,eng
New Caledonia,Néo-Calédonienne,Néo-Calédonien,fra
Lithuania,Lithuanian,Lithuanian,eng
Lithuania,Lituanienne,Lituanien,fra
Netherlands,Dutch,Dutch,eng
Netherlands,Néerlandaise,Néerlandais,fra
Greenland,Greenlandic,Greenlandic,eng
Greenland,Groenlandaise,Groenlandais,fra
Vatican City,Vatican,Vatican,eng
Vatican City,Vaticane,Vatican,fra
Micronesia,Micronesian,Micronesian,eng
Micronesia,Micronésienne,Micronésien,fra
Heard Island and McDonald Islands,Heard and McDonald Islander,Heard and McDonald Islander,eng
Kuwait,Kuwaiti,Kuwaiti,eng
Kuwait,Koweïtienne,Koweïtien,fra
Switzerland,Swiss,Swiss,eng
Switzerland,Suisse,Suisse,fra
Saint Lucia,Saint Lucian,Saint Lucian,eng
Saint Lucia,Saint-Lucienne,Saint-Lucien,fra
Turks and Caicos Islands,Turks and Caicos Islander,Turks and Caicos Islander,eng
Malta,Maltese,Maltese,eng
Malta,Maltaise,Maltais,fra
Tonga,Tongan,Tongan,eng
Tonga,Tonguienne,Tonguien,fra
Guatemala,Guatemalan,Guatemalan,eng
Guatemala,Guatémaltèque,Guatémaltèque,fra
Uganda,Ugandan,Ugandan,eng
Uganda,Ougandaise,Ougandais,fra
Guinea,Guinean,Guinean,eng
Guinea,Guinéenne,Guinéen,fra
American Samoa,American Samoan,American Samoan,eng
American Samoa,Samoane,Samoan,fra
Sint Maarten,St. Maartener,St. Maartener,eng
Sint Maarten,Saint-Martinoise,Saint-Martinois,fra
Nepal,Nepalese,Nepalese,eng
Nepal,Népalaise,Népalais,fra
Slovenia,Slovene,Slovene,eng
Slovenia,Slovène,Slovène,fra
