common_name,root,suffixes
Mauritania,+2,22
Eritrea,+2,91
Puerto Rico,+1,787
Puerto Rico,+1,939
Romania,+4,0
Antigua and Barbuda,+1,268
Cocos (Keeling) Islands,+6,1
Colombia,+5,7
Chile,+5,6
Ghana,+2,33
Gibraltar,+3,50
Venezuela,+5,8
Kosovo,+3,83
Botswana,+2,67
Tanzania,+2,55
Montenegro,+3,82
Comoros,+2,69
Ivory Coast,+2,25
Cape Verde,+2,38
Lesotho,+2,66
Gabon,+2,41
Grenada,+1,473
Jordan,+9,62
Sweden,+4,6
Vietnam,+8,4
Qatar,+9,74
Brazil,+5,5
Finland,+3,58
Georgia,+9,95
Senegal,+2,21
South Korea,+8,2
Anguilla,+1,264
São Tomé and Príncipe,+2,39
Guyana,+5,92
Nauru,+6,74
Suriname,+5,97
Cambodia,+8,55
Curaçao,+5,99
Maldives,+9,60
Paraguay,+5,95
Peru,+5,1
France,+3,3
Falkland Islands,+5,00
Uzbekistan,+9,98
Egypt,+2,0
United States Minor Outlying Islands,+2,68
Dominica,+1,767
Israel,+9,72
Monaco,+3,77
Republic of the Congo,+2,42
Ireland,+3,53
French Southern and Antarctic Lands,+2,62
Kazakhstan,+7,6
Kazakhstan,+7,7
Malaysia,+6,0
United Arab Emirates,+9,71
Czechia,+4,20
Yemen,+9,67
Myanmar,+9,5
Saint Kitts and Nevis,+1,869
United States Virgin Islands,+1,340
French Polynesia,+6,89
Fiji,+6,79
Albania,+3,55
Isle of Man,+4,4
Australia,+6,1
Caribbean Netherlands,+5,99
Italy,+3,9
Afghanistan,+9,3
Kyrgyzstan,+9,96
Wallis and Futuna,+6,81
United States,+1,201
United States,+1,202
United States,+1,203
United States,+1,205
United States,+1,206
United States,+1,207
United States,+1,208
United States,+1,209
United States,+1,210
United States,+1,212
United States,+1,213
United States,+1,214
United States,+1,215
United States,+1,216
United States,+1,217
United States,+1,218
United States,+1,219
United States,+1,220
United States,+1,224
United States,+1,225
United States,+1,227
United States,+1,228
United States,+1,229
United States,+1,231
United States,+1,234
United States,+1,239
United States,+1,240
United States,+1,248
United States,+1,251
United States,+1,252
United States,+1,253
United States,+1,254
United States,+1,256
United States,+1,260
United States,+1,262
United States,+1,267
United States,+1,269
United States,+1,270
United States,+1,272
United States,+1,274
United States,+1,276
United States,+1,281
United States,+1,283
United States,+1,301
United States,+1,302
United States,+1,303
United States,+1,304
United States,+1,305
United States,+1,307
United States,+1,308
United States,+1,309
United States,+1,310
United States,+1,312
United States,+1,313
United States,+1,314
United States,+1,315
United States,+1,316
United States,+1,317
United States,+1,318
United States,+1,319
United States,+1,320
United States,+1,321
United States,+1,323
United States,+1,325
United States,+1,327
United States,+1,330
United States,+1,331
United States,+1,334
United States,+1,336
United States,+1,337
United States,+1,339
United States,+1,346
United States,+1,347
United States,+1,351
United States,+1,352
United States,+1,360
United States,+1,361
United States,+1,364
United States,+1,380
United States,+1,385
United States,+1,386
United States,+1,401
United States,+1,402
United States,+1,404
United States,+1,405
United States,+1,406
United States,+1,407
United States,+1,408
United States,+1,409
United States,+1,410
United States,+1,412
United States,+1,413
United States,+1,414
United States,+1,415
United States,+1,417
United States,+1,419
United States,+1,423
United States,+1,424
United States,+1,425
United States,+1,430
United States,+1,432
United States,+1,434
United States,+1,435
United States,+1,440
United States,+1,442
United States,+1,443
United States,+1,447
United States,+1,458
United States,+1,463
United States,+1,464
United States,+1,469
United States,+1,470
United States,+1,475
