common_name,lang_code,lang
Mauritania,ara,Arabic
Eritrea,ara,Arabic
Eritrea,eng,English
Eritrea,tir,Tigrinya
Puerto Rico,eng,English
Puerto Rico,spa,Spanish
Romania,ron,Romanian
Antigua and Barbuda,eng,English
Cocos (Keeling) Islands,eng,English
Colombia,spa,Spanish
Chile,spa,Spanish
Ghana,eng,English
Gibraltar,eng,English
Venezuela,spa,Spanish
Kosovo,sqi,Albanian
Kosovo,srp,Serbian
Botswana,eng,English
Botswana,tsn,Tswana
Tanzania,eng,English
Tanzania,swa,Swahili
Montenegro,cnr,Montenegrin
Comoros,ara,Arabic
Comoros,fra,French
Comoros,zdj,Comorian
Ivory Coast,fra,French
Cape Verde,por,Portuguese
Lesotho,eng,English
Lesotho,sot,Sotho
Gabon,fra,French
Grenada,eng,English
Jordan,ara,Arabic
Sweden,swe,Swedish
Vietnam,vie,Vietnamese
Qatar,ara,Arabic
Brazil,por,Portuguese
Finland,fin,Finnish
Finland,swe,Swedish
Georgia,kat,Georgian
Senegal,fra,French
South Korea,kor,Korean
Anguilla,eng,English
São Tomé and Príncipe,por,Portuguese
Guyana,eng,English
Nauru,eng,English
Nauru,nau,Nauru
Suriname,nld,Dutch
Cambodia,khm,Khmer
Curaçao,eng,English
Curaçao,nld,Dutch
Curaçao,pap,Papiamento
Maldives,div,Maldivian
Paraguay,grn,Guaraní
Paraguay,spa,Spanish
Peru,aym,Aymara
Peru,que,Quechua
Peru,spa,Spanish
France,fra,French
Falkland Islands,eng,English
Uzbekistan,rus,Russian
Uzbekistan,uzb,Uzbek
Egypt,ara,Arabic
United States Minor Outlying Islands,eng,English
Dominica,eng,English
Israel,ara,Arabic
Israel,heb,Hebrew
Monaco,fra,French
Republic of the Congo,fra,French
Republic of the Congo,kon,Kikongo
Republic of the Congo,lin,Lingala
Ireland,eng,English
Ireland,gle,Irish
French Southern and Antarctic Lands,fra,French
Kazakhstan,kaz,Kazakh
Kazakhstan,rus,Russian
Malaysia,eng,English
Malaysia,msa,Malay
United Arab Emirates,ara,Arabic
Czechia,ces,Czech
Czechia,slk,Slovak
Yemen,ara,Arabic
Myanmar,mya,Burmese
Saint Kitts and Nevis,eng,English
United States Virgin Islands,eng,English
French Polynesia,fra,French
Fiji,eng,English
Fiji,fij,Fijian
Fiji,hif,Fiji Hindi
Albania,sqi,Albanian
Isle of Man,eng,English
Isle of Man,glv,Manx
Australia,eng,English
Caribbean Netherlands,eng,English
Caribbean Netherlands,nld,Dutch
Caribbean Netherlands,pap,Papiamento
Italy,ita,Italian
Afghanistan,prs,Dari
Afghanistan,pus,Pashto
Afghanistan,tuk,Turkmen
Kyrgyzstan,kir,Kyrgyz
Kyrgyzstan,rus,Russian
Wallis and Futuna,fra,French
United States,eng,English
Martinique,fra,French
Philippines,eng,English
Philippines,fil,Filipino
Serbia,srp,Serbian
"Saint Helena, Ascension and Tristan da Cunha",eng,English
British Indian Ocean Territory,eng,English
Moldova,ron,Romanian
Hong Kong,eng,English
Hong Kong,zho,Chinese
Pakistan,eng,English
Pakistan,urd,Urdu
Saudi Arabia,ara,Arabic
Angola,por,Portuguese
New Caledonia,fra,French
Lithuania,lit,Lithuanian
Netherlands,nld,Dutch
Greenland,kal,Greenlandic
Vatican City,ita,Italian
Vatican City,lat,Latin
Micronesia,eng,English
Heard Island and McDonald Islands,eng,English
Kuwait,ara,Arabic
Switzerland,fra,French
Switzerland,gsw,Swiss German
Switzerland,ita,Italian
Switzerland,roh,Romansh
Saint Lucia,eng,English
Turks and Caicos Islands,eng,English
Malta,eng,English
Malta,mlt,Maltese
Tonga,eng,English
Tonga,ton,Tongan
Guatemala,spa,Spanish
Uganda,eng,English
Uganda,swa,Swahili
Guinea,fra,French
American Samoa,eng,English
American Samoa,smo,Samoan
Sint Maarten,eng,English
Sint Maarten,fra,French
Sint Maarten,nld,Dutch
Nepal,nep,Nepali
Slovenia,slv,Slovene
British Virgin Islands,eng,English
Ethiopia,amh,Amharic
Kiribati,eng,English
Kiribati,gil,Gilbertese
Guam,cha,Chamorro
Guam,eng,English
Guam,spa,Spanish
Togo,fra,French
Papua New Guinea,eng,English
Papua New Guinea,hmo,Hiri Motu
Papua New Guinea,tpi,Tok Pisin
Iceland,isl,Icelandic
Northern Mariana Islands,cal,Carolinian
Northern Mariana Islands,cha,Chamorro
Northern Mariana Islands,eng,English
Austria,de,German
Morocco,ara,Arabic
Morocco,ber,Berber
South Georgia,eng,English
Iraq,ara,Arabic
Iraq,arc,Aramaic
Iraq,ckb,Sorani
Liechtenstein,deu,German
Dominican Republic,spa,Spanish
Ecuador,spa,Spanish
Sierra Leone,eng,English
Belize,bjz,Belizean Creole
Belize,eng,English
Belize,spa,Spanish
Bhutan,dzo,Dzongkha
Iran,fas,Persian (Farsi)
Bolivia,aym,Aymara
Bolivia,grn,Guaraní
Bolivia,que,Quechua
Bolivia,spa,Spanish
Turkey,tur,Turkish
Faroe Islands,dan,Danish
Faroe Islands,fao,Faroese
Saint Barthélemy,fra,French
Greece,ell,Greek
India,eng,English
India,hin,Hindi
India,tam,Tamil
Nicaragua,spa,Spanish
Central African Republic,fra,French
Central African Republic,sag,Sango
DR Congo,fra,French
DR Congo,kon,Kikongo
DR Congo,lin,Lingala
DR Congo,lua,Tshiluba
DR Congo,swa,Swahili
Mali,fra,French
Azerbaijan,aze,Azerbaijani
Singapore,zho,Chinese
Singapore,eng,English
Singapore,msa,Malay
Singapore,tam,Tamil
Cuba,spa,Spanish
Bangladesh,ben,Bengali
Marshall Islands,eng,English
Marshall Islands,mah,Marshallese
Bouvet Island,nor,Norwegian
Latvia,lav,Latvian
Hungary,hun,Hungarian
Åland Islands,swe,Swedish
Bulgaria,bul,Bulgarian
Seychelles,crs,Seychellois Creole
Seychelles,eng,English
Seychelles,fra,French
Cameroon,eng,English
Cameroon,fra,French
Macau,por,Portuguese
Macau,zho,Chinese
Mexico,spa,Spanish
Brunei,msa,Malay
Taiwan,zho,Chinese
Aruba,nld,Dutch
Aruba,pap,Papiamento
Trinidad and Tobago,eng,English
Vanuatu,bis,Bislama
Vanuatu,eng,English
Vanuatu,fra,French
Algeria,ara,Arabic
Cook Islands,eng,English
Cook Islands,rar,Cook Islands Māori
Burundi,fra,French
Burundi,run,Kirundi
Belarus,bel,Belarusian
Belarus,rus,Russian
North Korea,kor,Korean
Saint Martin,fra,French
Samoa,eng,English
Samoa,smo,Samoan
Zimbabwe,bwg,Chibarwe
Zimbabwe,eng,English
Zimbabwe,kck,Kalanga
Zimbabwe,khi,Khoisan
Zimbabwe,ndc,Ndau
Zimbabwe,nde,Northern Ndebele
Zimbabwe,nya,Chewa
Zimbabwe,sna,Shona
Zimbabwe,sot,Sotho
Zimbabwe,toi,Tonga
Zimbabwe,tsn,Tswana
Zimbabwe,tso,Tsonga
Zimbabwe,ven,Venda
Zimbabwe,xho,Xhosa
