common_name,latitude,longitude
Mauritania,20.0,-12.0
Eritrea,15.0,39.0
Puerto Rico,18.25,-66.5
Romania,46.0,25.0
Antigua and Barbuda,17.05,-61.8
Cocos (Keeling) Islands,12.1642,96.871
Colombia,4.0,-72.0
Chile,-30.0,-71.0
Ghana,8.0,-2.0
Gibraltar,36.13333333,-5.35
Venezuela,8.0,-66.0
Kosovo,42.666667,21.166667
Botswana,-22.0,24.0
Tanzania,-6.0,35.0
Montenegro,42.5,19.3
Comoros,-12.16666666,44.25
Ivory Coast,8.0,-5.0
Cape Verde,16.5388,23.0418
Lesotho,-29.5,28.5
Gabon,-1.0,11.75
Grenada,12.11666666,-61.66666666
Jordan,31.0,36.0
Sweden,62.0,15.0
Vietnam,16.16666666,107.83333333
Qatar,25.5,51.25
Brazil,-10.0,-55.0
Finland,64.0,26.0
Georgia,42.0,43.5
Senegal,14.0,-14.0
South Korea,37.0,127.5
Anguilla,18.25,-63.16666666
São Tomé and Príncipe,1.0,7.0
Antarctica,-90.0,0.0
Guyana,5.0,-59.0
Nauru,-0.53333333,166.91666666
Suriname,4.0,-56.0
Cambodia,13.0,105.0
Curaçao,12.116667,-68.933333
Maldives,3.25,73.0
Paraguay,-23.0,-58.0
Peru,-10.0,-76.0
France,46.0,2.0
Falkland Islands,-51.75,-59.0
Uzbekistan,41.0,64.0
Egypt,27.0,30.0
United States Minor Outlying Islands,19.3,166.633333
Dominica,15.41666666,-61.33333333
Israel,31.47,35.13
Monaco,43.73333333,7.4
Republic of the Congo,-1.0,15.0
Ireland,53.0,-8.0
French Southern and Antarctic Lands,-49.25,69.167
Kazakhstan,48.0196,66.9237
Malaysia,2.5,112.5
United Arab Emirates,24.0,54.0
Czechia,49.75,15.5
Yemen,15.0,48.0
Myanmar,22.0,98.0
Saint Kitts and Nevis,17.33333333,-62.75
United States Virgin Islands,18.35,-64.933333
French Polynesia,17.6797,149.4068
Fiji,17.7134,178.065
Albania,41.0,20.0
Isle of Man,54.25,-4.5
Australia,-27.0,133.0
Caribbean Netherlands,12.18,-68.25
Italy,42.83333333,12.83333333
Afghanistan,33.0,65.0
Kyrgyzstan,41.0,75.0
Wallis and Futuna,-13.3,-176.2
United States,38.0,-97.0
Martinique,14.666667,-61.0
Philippines,13.0,122.0
Serbia,44.0,21.0
"Saint Helena, Ascension and Tristan da Cunha",-15.95,-5.72
British Indian Ocean Territory,-6.0,71.5
Moldova,47.0,29.0
Hong Kong,22.267,114.188
Pakistan,30.0,70.0
Saudi Arabia,25.0,45.0
Angola,-12.5,18.5
New Caledonia,-21.5,165.5
Lithuania,56.0,24.0
Netherlands,52.5,5.75
Greenland,72.0,-40.0
Vatican City,41.9,12.45
Micronesia,6.91666666,158.25
Heard Island and McDonald Islands,53.0818,73.5042
Kuwait,29.5,45.75
Switzerland,47.0,8.0
Saint Lucia,13.88333333,-60.96666666
Turks and Caicos Islands,21.75,-71.58333333
Malta,35.9375,14.3754
Tonga,-20.0,-175.0
Guatemala,15.5,-90.25
Uganda,1.0,32.0
Guinea,11.0,-10.0
American Samoa,-14.33333333,-170.0
Sint Maarten,18.033333,-63.05
Nepal,28.0,84.0
Slovenia,46.11666666,14.81666666
British Virgin Islands,18.431383,-64.62305
Ethiopia,8.0,38.0
Kiribati,1.41666666,173.0
Guam,13.46666666,144.78333333
Togo,8.0,1.16666666
Papua New Guinea,-6.0,147.0
Iceland,65.0,-18.0
Northern Mariana Islands,15.2,145.75
