common_name,site,link
Mauritania,googleMaps,https://goo.gl/maps/im2MmQ5jFjzxWBks5
Mauritania,openStreetMaps,https://www.openstreetmap.org/relation/192763
Eritrea,googleMaps,https://goo.gl/maps/HRyqUpnPwwG6jY5j6
Eritrea,openStreetMaps,https://www.openstreetmap.org/relation/296961
Puerto Rico,googleMaps,https://goo.gl/maps/sygfDbtwn389wu8x5
Puerto Rico,openStreetMaps,https://www.openstreetmap.org/relation/4422604
Romania,googleMaps,https://goo.gl/maps/845hAgCf1mDkN3vr7
Romania,openStreetMaps,https://www.openstreetmap.org/relation/90689
Antigua and Barbuda,googleMaps,https://goo.gl/maps/fnye4wGJ1RzC9jpX9
Antigua and Barbuda,openStreetMaps,https://www.openstreetmap.org/relation/536900
Cocos (Keeling) Islands,googleMaps,https://goo.gl/maps/3eCdKVpVfMcZyKcK6
Cocos (Keeling) Islands,openStreetMaps,https://www.openstreetmap.org/relation/82636
Colombia,googleMaps,https://goo.gl/maps/RdwTG8e7gPwS62oR6
Colombia,openStreetMaps,https://www.openstreetmap.org/relation/120027
Chile,googleMaps,https://goo.gl/maps/XboxyNHh2fAjCPNn9
Chile,openStreetMaps,https://www.openstreetmap.org/relation/167454
Ghana,googleMaps,https://goo.gl/maps/Avy5RSmdsXFBaiXq8
Ghana,openStreetMaps,https://www.openstreetmap.org/relation/192781
Gibraltar,googleMaps,https://goo.gl/maps/CEoHAs1t6byCBhHFA
Gibraltar,openStreetMaps,https://www.openstreetmap.org/relation/1278736
Venezuela,googleMaps,https://goo.gl/maps/KLCwDN8sec7z2kse9
Venezuela,openStreetMaps,https://www.openstreetmap.org/relation/272644
Kosovo,googleMaps,https://goo.gl/maps/CSC4Yc8SWPgburuD9
Kosovo,openStreetMaps,https://www.openstreetmap.org/relation/2088990
Botswana,googleMaps,https://goo.gl/maps/E364KeLy6N4JwxwQ8
Botswana,openStreetMaps,https://www.openstreetmap.org/relation/1889339
Tanzania,googleMaps,https://goo.gl/maps/NWYMqZYXte4zGZ2Q8
Tanzania,openStreetMaps,https://www.openstreetmap.org/relation/195270
Montenegro,googleMaps,https://goo.gl/maps/4THX1fM7WqANuPbB8
Montenegro,openStreetMaps,https://www.openstreetmap.org/relation/53296
Comoros,googleMaps,https://goo.gl/maps/eas4GP28C1GyStnu6
Comoros,openStreetMaps,https://www.openstreetmap.org/relation/535790
Ivory Coast,googleMaps,https://goo.gl/maps/wKsmN7f5qAeNtGjP6
Ivory Coast,openStreetMaps,https://www.openstreetmap.org/relation/192779
Cape Verde,googleMaps,https://goo.gl/maps/Kc9vy5ChjuiAgMfXA
Cape Verde,openStreetMaps,https://www.openstreetmap.org/relation/535774
Lesotho,googleMaps,https://goo.gl/maps/H8gJi5mL4Cmd1SF28
Lesotho,openStreetMaps,https://www.openstreetmap.org/relation/2093234
Gabon,googleMaps,https://goo.gl/maps/vyRSkqw1H1fnq4ry6
Gabon,openStreetMaps,https://www.openstreetmap.org/relation/192793
Grenada,googleMaps,https://goo.gl/maps/rqWyfUAt4xhvk1Zy9
Grenada,openStreetMaps,https://www.openstreetmap.org/relation/550727
Jordan,googleMaps,https://goo.gl/maps/ko1dzSDKg8Gsi9A98
Jordan,openStreetMaps,https://www.openstreetmap.org/relation/184818
Sweden,googleMaps,https://goo.gl/maps/iqygE491ADVgnBW39
Sweden,openStreetMaps,https://www.openstreetmap.org/relation/52822
Vietnam,googleMaps,https://goo.gl/maps/PCpVt9WzdJ9A9nEZ9
Vietnam,openStreetMaps,https://www.openstreetmap.org/relation/49915
Qatar,googleMaps,https://goo.gl/maps/ZV76Y49z7LLUZ2KQ6
Qatar,openStreetMaps,https://www.openstreetmap.org/relation/305095
Brazil,googleMaps,https://goo.gl/maps/waCKk21HeeqFzkNC9
Brazil,openStreetMaps,https://www.openstreetmap.org/relation/59470
Finland,googleMaps,https://goo.gl/maps/HjgWDCNKRAYHrkMn8
Finland,openStreetMaps,openstreetmap.org/relation/54224
Georgia,googleMaps,https://goo.gl/maps/bvCaGBePR1ZEDK5cA
Georgia,openStreetMaps,https://www.openstreetmap.org/relation/28699
Senegal,googleMaps,https://goo.gl/maps/o5f1uD5nyihCL3HCA
Senegal,openStreetMaps,https://www.openstreetmap.org/relation/192775
South Korea,googleMaps,https://goo.gl/maps/7ecjaJXefjAQhxjGA
South Korea,openStreetMaps,https://www.openstreetmap.org/relation/307756
Anguilla,googleMaps,https://goo.gl/maps/3KgLnEyN7amdno2p9
Anguilla,openStreetMaps,https://www.openstreetmap.org/relation/2177161
São Tomé and Príncipe,googleMaps,https://goo.gl/maps/9EUppm13RtPX9oF46
São Tomé and Príncipe,openStreetMaps,https://www.openstreetmap.org/relation/535880
Antarctica,googleMaps,https://goo.gl/maps/kyBuJriu4itiXank7
