common_name,official_name
Mauritania,Islamic Republic of Mauritania
Eritrea,State of Eritrea
Puerto Rico,Commonwealth of Puerto Rico
Romania,Romania
Antigua and Barbuda,Antigua and Barbuda
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands
Colombia,Republic of Colombia
Chile,Republic of Chile
Ghana,Republic of Ghana
Gibraltar,Gibraltar
Venezuela,Bolivarian Republic of Venezuela
Kosovo,Republic of Kosovo
Botswana,Republic of Botswana
Tanzania,United Republic of Tanzania
Montenegro,Montenegro
Comoros,Union of the Comoros
Ivory Coast,Republic of Côte d'Ivoire
Cape Verde,Republic of Cabo Verde
Lesotho,Kingdom of Lesotho
Gabon,Gabonese Republic
Grenada,Grenada
Jordan,Hashemite Kingdom of Jordan
Sweden,Kingdom of Sweden
Vietnam,Socialist Republic of Vietnam
Qatar,State of Qatar
Brazil,Federative Republic of Brazil
Finland,Republic of Finland
Georgia,Georgia
Senegal,Republic of Senegal
South Korea,Republic of Korea
Anguilla,Anguilla
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe
Antarctica,Antarctica
Guyana,Co-operative Republic of Guyana
Nauru,Republic of Nauru
Suriname,Republic of Suriname
Cambodia,Kingdom of Cambodia
Curaçao,Country of Curaçao
Maldives,Republic of the Maldives
Paraguay,Republic of Paraguay
Peru,Republic of Peru
France,French Republic
Falkland Islands,Falkland Islands
Uzbekistan,Republic of Uzbekistan
Egypt,Arab Republic of Egypt
United States Minor Outlying Islands,United States Minor Outlying Islands
Dominica,Commonwealth of Dominica
Israel,State of Israel
Monaco,Principality of Monaco
Republic of the Congo,Republic of the Congo
Ireland,Republic of Ireland
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands
Kazakhstan,Republic of Kazakhstan
Malaysia,Malaysia
United Arab Emirates,United Arab Emirates
Czechia,Czech Republic
Yemen,Republic of Yemen
Myanmar,Republic of the Union of Myanmar
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis
United States Virgin Islands,Virgin Islands of the United States
French Polynesia,French Polynesia
Fiji,Republic of Fiji
Albania,Republic of Albania
Isle of Man,Isle of Man
Australia,Commonwealth of Australia
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba"
Italy,Italian Republic
Afghanistan,Islamic Republic of Afghanistan
Kyrgyzstan,Kyrgyz Republic
Wallis and Futuna,Territory of the Wallis and Futuna Islands
United States,United States of America
Martinique,Martinique
Philippines,Republic of the Philippines
Serbia,Republic of Serbia
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha"
British Indian Ocean Territory,British Indian Ocean Territory
Moldova,Republic of Moldova
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China
Pakistan,Islamic Republic of Pakistan
Saudi Arabia,Kingdom of Saudi Arabia
Angola,Republic of Angola
New Caledonia,New Caledonia
Lithuania,Republic of Lithuania
Netherlands,Kingdom of the Netherlands
Greenland,Greenland
Vatican City,Vatican City State
Micronesia,Federated States of Micronesia
Heard Island and McDonald Islands,Heard Island and McDonald Islands
Kuwait,State of Kuwait
Switzerland,Swiss Confederation
Saint Lucia,Saint Lucia
Turks and Caicos Islands,Turks and Caicos Islands
Malta,Republic of Malta
Tonga,Kingdom of Tonga
Guatemala,Republic of Guatemala
Uganda,Republic of Uganda
Guinea,Republic of Guinea
American Samoa,American Samoa
Sint Maarten,Sint Maarten
Nepal,Federal Democratic Republic of Nepal
Slovenia,Republic of Slovenia
British Virgin Islands,Virgin Islands
Ethiopia,Federal Democratic Republic of Ethiopia
Kiribati,Independent and Sovereign Republic of Kiribati
Guam,Guam
Togo,Togolese Republic
Papua New Guinea,Independent State of Papua New Guinea
Iceland,Iceland
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands
Austria,Republic of Austria
Morocco,Kingdom of Morocco
South Georgia,South Georgia and the South Sandwich Islands
Iraq,Republic of Iraq
Liechtenstein,Principality of Liechtenstein
Dominican Republic,Dominican Republic
Ecuador,Republic of Ecuador
Sierra Leone,Republic of Sierra Leone
Belize,Belize
Bhutan,Kingdom of Bhutan
Iran,Islamic Republic of Iran
Bolivia,Plurinational State of Bolivia
Turkey,Republic of Turkey
Faroe Islands,Faroe Islands
Saint Barthélemy,Collectivity of Saint Barthélemy
Greece,Hellenic Republic
India,Republic of India
Nicaragua,Republic of Nicaragua
Central African Republic,Central African Republic
DR Congo,Democratic Republic of the Congo
Mali,Republic of Mali
Azerbaijan,Republic of Azerbaijan
Singapore,Republic of Singapore
Cuba,Republic of Cuba
Bangladesh,People's Republic of Bangladesh
Marshall Islands,Republic of the Marshall Islands
Bouvet Island,Bouvet Island
Latvia,Republic of Latvia
Hungary,Hungary
Åland Islands,Åland Islands
Bulgaria,Republic of Bulgaria
Seychelles,Republic of Seychelles
Cameroon,Republic of Cameroon
Macau,Macao Special Administrative Region of the People's Republic of China
Mexico,United Mexican States
Brunei,"Nation of Brunei, Abode of Peace"
Taiwan,Republic of China (Taiwan)
Aruba,Aruba
Trinidad and Tobago,Republic of Trinidad and Tobago
Vanuatu,Republic of Vanuatu
Algeria,People's Democratic Republic of Algeria
Cook Islands,Cook Islands
Burundi,Republic of Burundi
Belarus,Republic of Belarus
North Korea,Democratic People's Republic of Korea
Saint Martin,Saint Martin
Samoa,Independent State of Samoa
Zimbabwe,Republic of Zimbabwe
Bermuda,Bermuda
Djibouti,Republic of Djibouti
United Kingdom,United Kingdom of Great Britain and Northern Ireland
Niue,Niue
Guinea-Bissau,Republic of Guinea-Bissau
Japan,Japan
Tuvalu,Tuvalu
Réunion,Réunion Island
Sudan,Republic of the Sudan
North Macedonia,Republic of North Macedonia
Canada,Canada
Indonesia,Republic of Indonesia
Gambia,Republic of the Gambia
Somalia,Federal Republic of Somalia
Mauritius,Republic of Mauritius
Montserrat,Montserrat
Russia,Russian Federation
Portugal,Portuguese Republic
Oman,Sultanate of Oman
Christmas Island,Territory of Christmas Island
Croatia,Republic of Croatia
Mongolia,Mongolia
Tajikistan,Republic of Tajikistan
Solomon Islands,Solomon Islands
Haiti,Republic of Haiti
Honduras,Republic of Honduras
Namibia,Republic of Namibia
Argentina,Argentine Republic
Niger,Republic of Niger
Timor-Leste,Democratic Republic of Timor-Leste
