common_name,official,common,language_code
Mauritania,الجمهورية الإسلامية الموريتانية,موريتانيا,ara
Eritrea,دولة إرتريا,إرتريا‎,ara
Eritrea,State of Eritrea,Eritrea,eng
Eritrea,ሃገረ ኤርትራ,ኤርትራ,tir
Puerto Rico,Commonwealth of Puerto Rico,Puerto Rico,eng
Puerto Rico,Estado Libre Asociado de Puerto Rico,Puerto Rico,spa
Romania,România,România,ron
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,eng
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,Cocos (Keeling) Islands,eng
Colombia,República de Colombia,Colombia,spa
Chile,República de Chile,Chile,spa
Ghana,Republic of Ghana,Ghana,eng
Gibraltar,Gibraltar,Gibraltar,eng
Venezuela,República Bolivariana de Venezuela,Venezuela,spa
Kosovo,Republika e Kosovës,Kosova,sqi
Kosovo,Република Косово,Косово,srp
Botswana,Republic of Botswana,Botswana,eng
Botswana,Lefatshe la Botswana,Botswana,tsn
Tanzania,United Republic of Tanzania,Tanzania,eng
Tanzania,Jamhuri ya Muungano wa Tanzania,Tanzania,swa
Montenegro,Црна Гора,Црна Гора,cnr
Comoros,الاتحاد القمري,القمر‎,ara
Comoros,Union des Comores,Comores,fra
Comoros,Udzima wa Komori,Komori,zdj
Ivory Coast,République de Côte d'Ivoire,Côte d'Ivoire,fra
Cape Verde,República de Cabo Verde,Cabo Verde,por
Lesotho,Kingdom of Lesotho,Lesotho,eng
Lesotho,Kingdom of Lesotho,Lesotho,sot
Gabon,République gabonaise,Gabon,fra
Grenada,Grenada,Grenada,eng
Jordan,المملكة الأردنية الهاشمية,الأردن,ara
Sweden,Konungariket Sverige,Sverige,swe
Vietnam,Cộng hòa xã hội chủ nghĩa Việt Nam,Việt Nam,vie
Qatar,دولة قطر,قطر,ara
Brazil,República Federativa do Brasil,Brasil,por
Finland,Suomen tasavalta,Suomi,fin
Finland,Republiken Finland,Finland,swe
Georgia,საქართველო,საქართველო,kat
Senegal,République du Sénégal,Sénégal,fra
South Korea,대한민국,한국,kor
Anguilla,Anguilla,Anguilla,eng
