common_name,format,regex
Puerto Rico,#####-####,^(\d{9})$
Romania,######,^(\d{6})$
Chile,#######,^(\d{7})$
Venezuela,####,^(\d{4})$
Montenegro,#####,^(\d{5})$
Cape Verde,####,^(\d{4})$
Lesotho,###,^(\d{3})$
Jordan,#####,^(\d{5})$
Sweden,SE-### ##,^(?:SE)*(\d{5})$
Vietnam,######,^(\d{6})$
Brazil,#####-###,^(\d{8})$
Finland,#####,^(?:FI)*(\d{5})$
Georgia,####,^(\d{4})$
Senegal,#####,^(\d{5})$
South Korea,SEOUL ###-###,^(?:SEOUL)*(\d{6})$
Cambodia,#####,^(\d{5})$
Maldives,#####,^(\d{5})$
Paraguay,####,^(\d{4})$
Peru,#####,^(\d{5})$
France,#####,^(\d{5})$
Uzbekistan,######,^(\d{6})$
Egypt,#####,^(\d{5})$
Israel,#####,^(\d{5})$
Monaco,#####,^(\d{5})$
Kazakhstan,######,^(\d{6})$
Malaysia,#####,^(\d{5})$
Czechia,### ##,^(\d{5})$
Myanmar,#####,^(\d{5})$
French Polynesia,#####,^((97|98)7\d{2})$
Isle of Man,@# #@@|@## #@@|@@# #@@|@@## #@@|@#@ #@@|@@#@ #@@|GIR0AA,^(([A-Z]\d{2}[A-Z]{2})|([A-Z]\d{3}[A-Z]{2})|([A-Z]{2}\d{2}[A-Z]{2})|([A-Z]{2}\d{3}[A-Z]{2})|([A-Z]\d[A-Z]\d[A-Z]{2})|([A-Z]{2}\d[A-Z]\d[A-Z]{2})|(GIR0AA))$
Australia,####,^(\d{4})$
Italy,#####,^(\d{5})$
Kyrgyzstan,######,^(\d{6})$
Wallis and Futuna,#####,^(986\d{2})$
United States,#####-####,^\d{5}(-\d{4})?$
Martinique,#####,^(\d{5})$
Philippines,####,^(\d{4})$
Serbia,######,^(\d{6})$
"Saint Helena, Ascension and Tristan da Cunha",STHL 1ZZ,^(STHL1ZZ)$
Moldova,MD-####,^(?:MD)*(\d{4})$
Pakistan,#####,^(\d{5})$
Saudi Arabia,#####,^(\d{5})$
New Caledonia,#####,^(\d{5})$
Lithuania,LT-#####,^(?:LT)*(\d{5})$
Netherlands,#### @@,^(\d{4}[A-Z]{2})$
Greenland,####,^(\d{4})$
Micronesia,#####,^(\d{5})$
Kuwait,#####,^(\d{5})$
Switzerland,####,^(\d{4})$
Turks and Caicos Islands,TKCA 1ZZ,^(TKCA 1ZZ)$
Malta,@@@ ###|@@@ ##,^([A-Z]{3}\d{2}\d?)$
Guatemala,#####,^(\d{5})$
Nepal,#####,^(\d{5})$
Slovenia,SI- ####,^(?:SI)*(\d{4})$
Ethiopia,####,^(\d{4})$
Guam,969##,^(969\d{2})$
Papua New Guinea,###,^(\d{3})$
Iceland,###,^(\d{3})$
Austria,####,^(\d{4})$
Morocco,#####,^(\d{5})$
Iraq,#####,^(\d{5})$
Liechtenstein,####,^(\d{4})$
Dominican Republic,#####,^(\d{5})$
Ecuador,@####@,^([a-zA-Z]\d{4}[a-zA-Z])$
Iran,##########,^(\d{10})$
Turkey,#####,^(\d{5})$
Faroe Islands,FO-###,^(?:FO)*(\d{3})$
Saint Barthélemy,### ###,
Greece,### ##,^(\d{5})$
India,######,^(\d{6})$
Nicaragua,###-###-#,^(\d{7})$
Azerbaijan,AZ ####,^(?:AZ)*(\d{4})$
Singapore,######,^(\d{6})$
Cuba,CP #####,^(?:CP)*(\d{5})$
Bangladesh,####,^(\d{4})$
Latvia,LV-####,^(?:LV)*(\d{4})$
Hungary,####,^(\d{4})$
Bulgaria,####,^(\d{4})$
Mexico,#####,^(\d{5})$
Brunei,@@####,^([A-Z]{2}\d{4})$
Taiwan,#####,^(\d{5})$
Algeria,#####,^(\d{5})$
Belarus,######,^(\d{6})$
North Korea,###-###,^(\d{6})$
Saint Martin,### ###,
Bermuda,@@ ##,^([A-Z]{2}\d{2})$
United Kingdom,@# #@@|@## #@@|@@# #@@|@@## #@@|@#@ #@@|@@#@ #@@|GIR0AA,^(([A-Z]\d{2}[A-Z]{2})|([A-Z]\d{3}[A-Z]{2})|([A-Z]{2}\d{2}[A-Z]{2})|([A-Z]{2}\d{3}[A-Z]{2})|([A-Z]\d[A-Z]\d[A-Z]{2})|([A-Z]{2}\d[A-Z]\d[A-Z]{2})|(GIR0AA))$
Guinea-Bissau,####,^(\d{4})$
Japan,###-####,^(\d{7})$
Réunion,#####,^((97|98)(4|7|8)\d{2})$
Sudan,#####,^(\d{5})$
North Macedonia,####,^(\d{4})$
Canada,@#@ #@#,^([ABCEGHJKLMNPRSTVXY]\d[ABCEGHJKLMNPRSTVWXYZ]) ?(\d[ABCEGHJKLMNPRSTVWXYZ]\d)$
Indonesia,#####,^(\d{5})$
Somalia,@@  #####,^([A-Z]{2}\d{5})$
Russia,######,^(\d{6})$
Portugal,####-###,^(\d{7})$
Oman,###,^(\d{3})$
Christmas Island,####,^(\d{4})$
Croatia,HR-#####,^(?:HR)*(\d{5})$
Mongolia,######,^(\d{6})$
Tajikistan,######,^(\d{6})$
Haiti,HT####,^(?:HT)*(\d{4})$
Honduras,@@####,^([A-Z]{2}\d{4})$
Argentina,@####@@@,^([A-Z]\d{4}[A-Z]{3})$
Niger,####,^(\d{4})$
Uruguay,#####,^(\d{5})$
Barbados,BB#####,^(?:BB)*(\d{5})$
Guernsey,@# #@@|@## #@@|@@# #@@|@@## #@@|@#@ #@@|@@#@ #@@|GIR0AA,^(([A-Z]\d{2}[A-Z]{2})|([A-Z]\d{3}[A-Z]{2})|([A-Z]{2}\d{2}[A-Z]{2})|([A-Z]{2}\d{3}[A-Z]{2})|([A-Z]\d[A-Z]\d[A-Z]{2})|([A-Z]{2}\d[A-Z]\d[A-Z]{2})|(GIR0AA))$
Estonia,#####,^(\d{5})$
Kenya,#####,^(\d{5})$
Luxembourg,####,^(\d{4})$
Guadeloupe,#####,^((97|98)\d{3})$
Tunisia,####,^(\d{4})$
Mozambique,####,^(\d{4})$
Germany,#####,^(\d{5})$
Liberia,####,^(\d{4})$
Saint Pierre and Miquelon,#####,^(97500)$
Slovakia,###  ##,^(\d{5})$
Palau,96940,^(96940)$
Cyprus,####,^(\d{4})$
Mayotte,#####,^(\d{5})$
Turkmenistan,######,^(\d{6})$
Nigeria,######,^(\d{6})$
Norway,####,^(\d{4})$
Bosnia and Herzegovina,#####,^(\d{5})$
South Africa,####,^(\d{4})$
Denmark,####,^(\d{4})$
Laos,#####,^(\d{5})$
Madagascar,###,^(\d{3})$
El Salvador,CP ####,^(?:CP)*(\d{4})$
Andorra,AD###,^(?:AD)*(\d{3})$
Sri Lanka,#####,^(\d{5})$
Armenia,######,^(\d{6})$
Spain,#####,^(\d{5})$
Thailand,#####,^(\d{5})$
Ukraine,#####,^(\d{5})$
China,######,^(\d{6})$
Bahrain,####|###,^(\d{3}\d?)$
Jersey,@# #@@|@## #@@|@@# #@@|@@## #@@|@#@ #@@|@@#@ #@@|GIR0AA,^(([A-Z]\d{2}[A-Z]{2})|([A-Z]\d{3}[A-Z]{2})|([A-Z]{2}\d{2}[A-Z]{2})|([A-Z]{2}\d{3}[A-Z]{2})|([A-Z]\d[A-Z]\d[A-Z]{2})|([A-Z]{2}\d[A-Z]\d[A-Z]{2})|(GIR0AA))$
Poland,##-###,^(\d{5})$
Belgium,####,^(\d{4})$
Costa Rica,####,^(\d{4})$
San Marino,4789#,^(4789\d)$
New Zealand,####,^(\d{4})$
French Guiana,#####,^((97|98)3\d{2})$
Lebanon,#### ####|####,^(\d{4}(\d{4})?)$
Zambia,#####,^(\d{5})$
Eswatini,@###,^([A-Z]\d{3})$
