common_name,region,subregion
Mauritania,Africa,Western Africa
Eritrea,Africa,Eastern Africa
Puerto Rico,Americas,Caribbean
Romania,Europe,Southeast Europe
Antigua and Barbuda,Americas,Caribbean
Cocos (Keeling) Islands,Oceania,Australia and New Zealand
Colombia,Americas,South America
Chile,Americas,South America
Ghana,Africa,Western Africa
Gibraltar,Europe,Southern Europe
Venezuela,Americas,South America
Kosovo,Europe,Southeast Europe
Botswana,Africa,Southern Africa
Tanzania,Africa,Eastern Africa
Montenegro,Europe,Southeast Europe
Comoros,Africa,Eastern Africa
Ivory Coast,Africa,Western Africa
Cape Verde,Africa,Western Africa
Lesotho,Africa,Southern Africa
Gabon,Africa,Middle Africa
Grenada,Americas,Caribbean
Jordan,Asia,Western Asia
Sweden,Europe,Northern Europe
Vietnam,Asia,South-Eastern Asia
Qatar,Asia,Western Asia
Brazil,Americas,South America
Finland,Europe,Northern Europe
Georgia,Asia,Western Asia
Senegal,Africa,Western Africa
South Korea,Asia,Eastern Asia
Anguilla,Americas,Caribbean
São Tomé and Príncipe,Africa,Middle Africa
Guyana,Americas,South America
Nauru,Oceania,Micronesia
Suriname,Americas,South America
Cambodia,Asia,South-Eastern Asia
Curaçao,Americas,Caribbean
Maldives,Asia,Southern Asia
Paraguay,Americas,South America
Peru,Americas,South America
France,Europe,Western Europe
Falkland Islands,Americas,South America
Uzbekistan,Asia,Central Asia
Egypt,Africa,Northern Africa
United States Minor Outlying Islands,Americas,North America
Dominica,Americas,Caribbean
Israel,Asia,Western Asia
Monaco,Europe,Western Europe
Republic of the Congo,Africa,Middle Africa
Ireland,Europe,Northern Europe
Kazakhstan,Asia,Central Asia
Malaysia,Asia,South-Eastern Asia
United Arab Emirates,Asia,Western Asia
Czechia,Europe,Central Europe
Yemen,Asia,Western Asia
Myanmar,Asia,South-Eastern Asia
Saint Kitts and Nevis,Americas,Caribbean
United States Virgin Islands,Americas,Caribbean
French Polynesia,Oceania,Polynesia
Fiji,Oceania,Melanesia
Albania,Europe,Southeast Europe
Isle of Man,Europe,Northern Europe
Australia,Oceania,Australia and New Zealand
Caribbean Netherlands,Americas,Caribbean
Italy,Europe,Southern Europe
Afghanistan,Asia,Southern Asia
Kyrgyzstan,Asia,Central Asia
Wallis and Futuna,Oceania,Polynesia
United States,Americas,North America
Martinique,Americas,Caribbean
Philippines,Asia,South-Eastern Asia
Serbia,Europe,Southeast Europe
"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa
