common_name,timezones
Mauritania,UTC
Eritrea,UTC+03:00
Puerto Rico,UTC-04:00
Romania,UTC+02:00
Antigua and Barbuda,UTC-04:00
Cocos (Keeling) Islands,UTC+06:30
Colombia,UTC-05:00
Chile,UTC-06:00
Chile,UTC-04:00
Ghana,UTC
Gibraltar,UTC+01:00
Venezuela,UTC-04:00
Kosovo,UTC+01:00
Botswana,UTC+02:00
Tanzania,UTC+03:00
Montenegro,UTC+01:00
Comoros,UTC+03:00
Ivory Coast,UTC
Cape Verde,UTC-01:00
Lesotho,UTC+02:00
Gabon,UTC+01:00
Grenada,UTC-04:00
Jordan,UTC+03:00
Sweden,UTC+01:00
Vietnam,UTC+07:00
Qatar,UTC+03:00
Brazil,UTC-05:00
Brazil,UTC-04:00
Brazil,UTC-03:00
Brazil,UTC-02:00
Finland,UTC+02:00
Georgia,UTC+04:00
Senegal,UTC
South Korea,UTC+09:00
Anguilla,UTC-04:00
São Tomé and Príncipe,UTC
Antarctica,UTC-03:00
Antarctica,UTC+03:00
Antarctica,UTC+05:00
Antarctica,UTC+06:00
Antarctica,UTC+07:00
Antarctica,UTC+08:00
Antarctica,UTC+10:00
Antarctica,UTC+12:00
Guyana,UTC-04:00
Nauru,UTC+12:00
Suriname,UTC-03:00
Cambodia,UTC+07:00
Curaçao,UTC-04:00
Maldives,UTC+05:00
Paraguay,UTC-04:00
Peru,UTC-05:00
France,UTC-10:00
France,UTC-09:30
France,UTC-09:00
France,UTC-08:00
France,UTC-04:00
France,UTC-03:00
France,UTC+01:00
France,UTC+02:00
France,UTC+03:00
France,UTC+04:00
France,UTC+05:00
France,UTC+10:00
France,UTC+11:00
France,UTC+12:00
Falkland Islands,UTC-04:00
Uzbekistan,UTC+05:00
Egypt,UTC+02:00
United States Minor Outlying Islands,UTC-11:00
United States Minor Outlying Islands,UTC-10:00
United States Minor Outlying Islands,UTC+12:00
Dominica,UTC-04:00
Israel,UTC+02:00
Monaco,UTC+01:00
Republic of the Congo,UTC+01:00
Ireland,UTC
French Southern and Antarctic Lands,UTC+05:00
Kazakhstan,UTC+05:00
Kazakhstan,UTC+06:00
Malaysia,UTC+08:00
United Arab Emirates,UTC+04:00
Czechia,UTC+01:00
Yemen,UTC+03:00
Myanmar,UTC+06:30
Saint Kitts and Nevis,UTC-04:00
United States Virgin Islands,UTC-04:00
French Polynesia,UTC-10:00
French Polynesia,UTC-09:30
French Polynesia,UTC-09:00
Fiji,UTC+12:00
Albania,UTC+01:00
Isle of Man,UTC+00:00
Australia,UTC+05:00
Australia,UTC+06:30
Australia,UTC+07:00
Australia,UTC+08:00
Australia,UTC+09:30
Australia,UTC+10:00
Australia,UTC+10:30
Australia,UTC+11:30
Caribbean Netherlands,UTC-04:00
Italy,UTC+01:00
Afghanistan,UTC+04:30
Kyrgyzstan,UTC+06:00
Wallis and Futuna,UTC+12:00
United States,UTC-12:00
United States,UTC-11:00
United States,UTC-10:00
United States,UTC-09:00
United States,UTC-08:00
United States,UTC-07:00
United States,UTC-06:00
United States,UTC-05:00
United States,UTC-04:00
United States,UTC+10:00
United States,UTC+12:00
Martinique,UTC-04:00
Philippines,UTC+08:00
Serbia,UTC+01:00
"Saint Helena, Ascension and Tristan da Cunha",UTC+00:00
British Indian Ocean Territory,UTC+06:00
Moldova,UTC+02:00
Hong Kong,UTC+08:00
Pakistan,UTC+05:00
Saudi Arabia,UTC+03:00
Angola,UTC+01:00
New Caledonia,UTC+11:00
Lithuania,UTC+02:00
Netherlands,UTC+01:00
Greenland,UTC-04:00
Greenland,UTC-03:00
Greenland,UTC-01:00
Greenland,UTC+00:00
Vatican City,UTC+01:00
Micronesia,UTC+10:00
Micronesia,UTC+11:00
Heard Island and McDonald Islands,UTC+05:00
Kuwait,UTC+03:00
Switzerland,UTC+01:00
Saint Lucia,UTC-04:00
Turks and Caicos Islands,UTC-04:00
Malta,UTC+01:00
Tonga,UTC+13:00
Guatemala,UTC-06:00
Uganda,UTC+03:00
Guinea,UTC
American Samoa,UTC-11:00
Sint Maarten,UTC-04:00
Nepal,UTC+05:45
Slovenia,UTC+01:00
British Virgin Islands,UTC-04:00
Ethiopia,UTC+03:00
Kiribati,UTC+12:00
Kiribati,UTC+13:00
Kiribati,UTC+14:00
Guam,UTC+10:00
Togo,UTC
Papua New Guinea,UTC+10:00
Iceland,UTC
Northern Mariana Islands,UTC+10:00
Austria,UTC+01:00
Morocco,UTC
South Georgia,UTC-02:00
Iraq,UTC+03:00
Liechtenstein,UTC+01:00
Dominican Republic,UTC-04:00
Ecuador,UTC-06:00
Ecuador,UTC-05:00
Sierra Leone,UTC
Belize,UTC-06:00
Bhutan,UTC+06:00
Iran,UTC+03:30
Bolivia,UTC-04:00
Turkey,UTC+03:00
Faroe Islands,UTC+00:00
Saint Barthélemy,UTC-04:00
Greece,UTC+02:00
India,UTC+05:30
Nicaragua,UTC-06:00
Central African Republic,UTC+01:00
DR Congo,UTC+01:00
DR Congo,UTC+02:00
Mali,UTC
Azerbaijan,UTC+04:00
Singapore,UTC+08:00
Cuba,UTC-05:00
Bangladesh,UTC+06:00
Marshall Islands,UTC+12:00
Bouvet Island,UTC+01:00
Latvia,UTC+02:00
Hungary,UTC+01:00
Åland Islands,UTC+02:00
Bulgaria,UTC+02:00
Seychelles,UTC+04:00
Cameroon,UTC+01:00
Macau,UTC+08:00
Mexico,UTC-08:00
Mexico,UTC-07:00
Mexico,UTC-06:00
Brunei,UTC+08:00
Taiwan,UTC+08:00
Aruba,UTC-04:00
Trinidad and Tobago,UTC-04:00
Vanuatu,UTC+11:00
Algeria,UTC+01:00
Cook Islands,UTC-10:00
Burundi,UTC+02:00
Belarus,UTC+03:00
North Korea,UTC+09:00
Saint Martin,UTC-04:00
Samoa,UTC+13:00
Zimbabwe,UTC+02:00
Bermuda,UTC-04:00
Djibouti,UTC+03:00
United Kingdom,UTC-08:00
United Kingdom,UTC-05:00
United Kingdom,UTC-04:00
United Kingdom,UTC-03:00
United Kingdom,UTC-02:00
United Kingdom,UTC
United Kingdom,UTC+01:00
United Kingdom,UTC+02:00
United Kingdom,UTC+06:00
Niue,UTC-11:00
Guinea-Bissau,UTC
Japan,UTC+09:00
Tuvalu,UTC+12:00
Réunion,UTC+04:00
Sudan,UTC+03:00
North Macedonia,UTC+01:00
Canada,UTC-08:00
Canada,UTC-07:00
Canada,UTC-06:00
Canada,UTC-05:00
Canada,UTC-04:00
Canada,UTC-03:30
Indonesia,UTC+07:00
Indonesia,UTC+08:00
Indonesia,UTC+09:00
Gambia,UTC+00:00
Somalia,UTC+03:00
Mauritius,UTC+04:00
Montserrat,UTC-04:00
Russia,UTC+03:00
Russia,UTC+04:00
Russia,UTC+06:00
Russia,UTC+07:00
Russia,UTC+08:00
Russia,UTC+09:00
Russia,UTC+10:00
Russia,UTC+11:00
Russia,UTC+12:00
Portugal,UTC-01:00
Portugal,UTC
Oman,UTC+04:00
Christmas Island,UTC+07:00
Croatia,UTC+01:00
Mongolia,UTC+07:00
Mongolia,UTC+08:00
Tajikistan,UTC+05:00
Solomon Islands,UTC+11:00
Haiti,UTC-05:00
Honduras,UTC-06:00
Namibia,UTC+01:00
Argentina,UTC-03:00
Niger,UTC+01:00
Timor-Leste,UTC+09:00
Western Sahara,UTC+00:00
Uruguay,UTC-03:00
Barbados,UTC-04:00
Guernsey,UTC+00:00
Estonia,UTC+02:00
Kenya,UTC+03:00
Jamaica,UTC-05:00
Luxembourg,UTC+01:00
Guadeloupe,UTC-04:00
Tunisia,UTC+01:00
Cayman Islands,UTC-05:00
Mozambique,UTC+02:00
Tokelau,UTC+13:00
Germany,UTC+01:00
Liberia,UTC
Pitcairn Islands,UTC-08:00
Saint Pierre and Miquelon,UTC-03:00
South Sudan,UTC+03:00
Slovakia,UTC+01:00
Palau,UTC+09:00
Cyprus,UTC+02:00
Libya,UTC+01:00
Mayotte,UTC+03:00
Turkmenistan,UTC+05:00
Equatorial Guinea,UTC+01:00
Nigeria,UTC+01:00
Norway,UTC+01:00
Bosnia and Herzegovina,UTC+01:00
South Africa,UTC+02:00
Denmark,UTC-04:00
Denmark,UTC-03:00
Denmark,UTC-01:00
Denmark,UTC
Denmark,UTC+01:00
Laos,UTC+07:00
Madagascar,UTC+03:00
El Salvador,UTC-06:00
Andorra,UTC+01:00
Sri Lanka,UTC+05:30
Rwanda,UTC+02:00
Armenia,UTC+04:00
